COUNTY,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Hubbard,34.02571429,64.93142857,12.80142857,43.56285714,34.57
Hudson,55.45969697,31.69769697,84.22921212,70.51618182,62.894
Hudspeth,94.11,85.88,95.35,83.27,96.98
Huerfano,50.955,69.41,48.36,70.09,63.405
Hughes,54.2,66.52111111,36.23555556,63.47666667,59.35111111
Humboldt,58.64394737,60.38236842,42.55421053,59.55473684,58.73315789
Humphreys,80.18625,76.95875,23.8575,51.19375,65.1125
Hunt,63.00263158,63.39947368,47.64210526,69.51421053,66.51157895
Hunterdon,14.73038462,21.42076923,28.29076923,25.35384615,14.01923077
Huntingdon,56.22,66.23416667,11.91333333,52.1625,47.91333333
Huntington,42.48333333,50.93777778,12.77444444,45.10666667,35.38444444
Huron,53.7144,67.51,17.8676,51.6184,48.3836
Hutchinson,59.787,75.327,40.458,56.439,61.593
Hyde,60.375,49.79,44.84,70.615,60.74
Iberia,78.05466667,81.424,53.48466667,67.946,77.73466667
Iberville,74.62,78.38714286,43.97,62.42,73.95142857
Ida,34.96,72.33,5.94,62.66666667,40.17333333
Idaho,54.75,64.85,27.726,69.34,58.356
Imperial,88.51483871,72.68806452,92.35193548,70.28225806,88.08677419
Independence,59.92875,81.3575,25.02875,58.11,60.515
Indian River,44.34862069,48.84137931,37.94,50.39068966,43.9062069
Indiana,57.15956522,49.89565217,15.88956522,56.87869565,45.95173913
Ingham,53.89438356,44.29962025,46.54291139,48.06891892,48.89260274
Inyo,41.96666667,46.585,55.805,60.60166667,51.41666667
Ionia,54.40833333,59.03666667,20.28230769,63.005,51.60833333
Iosco,67.99555556,76.78777778,10.85,52.73,56.47888889
Iowa,25.615,54.018,14.644,54.245,31.655
Iredell,50.54568182,55.19022727,41.97068182,39.43613636,46.38295455
Irion,51.33,70.28,22.55,20.95,37.23
Iron,59.7525,59.782,16.8005,67.534,55.2255
Iroquois,54.36222222,72.16888889,24.66111111,49.16222222,50.38222222
Irwin,87.255,78.58,31.24,48.735,70.57
Isabella,61.94866667,47.82066667,26.10333333,66.25066667,53.07066667
Isanti,36.03125,51.05125,10.23125,45.89125,33.0375
Island,34.81238095,48.92904762,30.22142857,37.86380952,32.36619048
Isle of Wight,48.67,58.23875,31.04875,42.8825,44.21
Issaquena,96.08,44.48,48.88,98.51,92.01
Itasca,45.52545455,62.79636364,13.58545455,64.80454545,47.81545455
Itawamba,67.73,68.92,11.618,52.674,55.552
Izard,76.04,60.37,11.555,62.0675,59.78
Jack,56.16,58.67,46.85,63.44666667,58.93666667
Jackson,55.967,62.50097674,39.08092807,50.24783721,53.35572093
James City,24.44363636,51.52909091,39.52545455,44.14909091,33.29727273
Jasper,59.11901639,69.82278689,29.59409836,54.7595082,56.46327869
Jay,64.53428571,84.76,13.99571429,57.21285714,59.78285714
